Qualification Code;Phases Code;Phases Description;Subject Code;Subject Credits;Notional Hours;Periods per Topic;Subject Decription;Topic Code;Topic Description;Assessment Criteria Number;Assesment Criteria Description;LPN;Lesson Plan Description 
90420;652302000-KM-01;Basic engineering;KM-01-KT01;1,6;16;1,6;Introduction to the Fitting and Turning Trade;KG0101;Professional conduct of a technician or tradesman in the workplace;KG 1;Explain the professional conduct necessary for a technician or tradesman in the  workplace;LPN 1;As a tadesman behave responsibly and professionally in the workplace
90420;652302000-KM-01;Basic engineering;KM-01-KT01;1,6;16;1,6;Introduction to the Fitting and Turning Trade;KG0102;Onboarding, induction of a technical apprentice learner;KG 2;Activities and task necessary to succesfull onboard a student technical Apprentice;LPN 2;Induction and orientation to the technical apprentice learning program
90420;652302000-KM-01;Basic engineering;KM-01-KT01;1,6;16;1,6;Introduction to the Fitting and Turning Trade;KG0103;Ethical behavior and communication by a technical apprentice or tradesman;KG 3;Effective communication within a technical workshop;LPN 3;As a tehnical tradesman behave ethically and communicate professionally in the workplace
90420;652302000-KM-01;Basic engineering;KM-01-KT01;1,6;16;1,6;Introduction to the Fitting and Turning Trade;KG0104;Manage personal finances;KG 4;How to manage your personal finance within the South African Context;LPN 4;How to manage personal finances in the South African context
90420;652302000-KM-01;Basic engineering;KM-01-KT01;1,6;16;1,6;Introduction to the Fitting and Turning Trade;KG0105;Time management;KG 5;Ho to conduct time management;LPN 5;Plan for work activities and manage time effectively
90420;652302000-KM-01;Basic engineering;KM-01-KT01;1,6;16;1,6;Introduction to the Fitting and Turning Trade;KG0106;How to use a personal computer;KG 6;Identify and explain the computer skills necessary for a technician;LPN 6;Use a personal computer, applications and peripherals
90420;652302000-KM-01;Basic engineering;KM-01-KT01;1,6;16;1,6;Introduction to the Fitting and Turning Trade;KG0107;Quality assurance activities;KG 7;Indentify and explain the quality assurance activities necessary for a mechanical engineer with emphasis on the job role of a fitter and turner or machinists;LPN 7;Conduct Quality Assurance activities applicable to a technical tradesman
90420;652302000-KM-01;Basic engineering;KM-01-KT01;1,6;16;1,6;Introduction to the Fitting and Turning Trade;KT0101;Career opportunities for a qualified fitter and turner;AC 1;The job environment and roles of a fitter and turner is accurately described and explained;LPN 8;Career opportunities for a qualified fitter and turner
90420;652302000-KM-01;Basic engineering;KM-01-KT01;1,6;16;1,6;Introduction to the Fitting and Turning Trade;KT0102;Occupational profile of a fitter and turner;AC 2;The profile of a fitter and turner is described with respect to industry description and requirements;LPN 9;Occupational profile of a fitter and turner
90420;652302000-KM-01;Basic engineering;KM-01-KT01;1,6;16;1,6;Introduction to the Fitting and Turning Trade;KT0103;Legislation related to apprentices in the fitting and turning trade;AC 3;Legal aspects pertaining to apprentices are explained;LPN 10;Legislation related to apprentices in the fitting and turning trade
90420;652302000-KM-01;Basic engineering;KM-01-KT02;6,4;64;9;Workplace health, safety and environmental protection;KT0201;General overview of occupational health and safety legislation;AC 4;Explain the South African occupational health and safety legislation ;LPN 11;General overview of occupational health and safety legislation
90420;652302000-KM-01;Basic engineering;KM-01-KT02;6,4;64;9;Workplace health, safety and environmental protection;KT0202;General workshop safety rules;AC 5;Explain technician workshop safety rules and precautions;LPN 12;General workshop safety rules
90420;652302000-KM-01;Basic engineering;KM-01-KT02;6,4;64;9;Workplace health, safety and environmental protection;KT0204;Safety symbols and coding;AC 6;Safety signs are recognised and described in terms of associated risk and safe conduct;LPN 13;Safety symbols and coding
90420;652302000-KM-01;Basic engineering;KM-01-KT02;6,4;64;9;Workplace health, safety and environmental protection;KT0205;Types of personal protective equipment;AC 7;Identidy and list tne personal potective equimpment that must be used by a technical apprentice;LPN 14;Types of personal protective equipment
90420;652302000-KM-01;Basic engineering;KM-01-KT02;6,4;64;9;Workplace health, safety and environmental protection;KT0206;Hazard identification and risk assessment principles;AC 8;Identify the hazards applicable to technical apprentices within a technical workshop;LPN 15;Hazard identification and risk assessment principles
90420;652302000-KM-01;Basic engineering;KM-01-KT02;6,4;64;9;Workplace health, safety and environmental protection;KT0207;Fundamentals of securing worksites;AC 9;The inter-relationship between workplace safety and a productive work environment is demonstrated through responses to questions;LPN 16;Fundamentals of securing worksites
90420;652302000-KM-01;Basic engineering;KM-01-KT02;6,4;64;9;Workplace health, safety and environmental protection;KT0208;Environmental protection and pollution concepts;AC 10;Environmental regulations concerning disposal of hazardous wastes are described;LPN 17;Environmental protection and pollution concepts
90420;652302000-KM-01;Basic engineering;KM-01-KT03;3,2;32;5;Engineering drawings;KT0301;Mechanical Engineering Freehand Drawing;AC 11;Freehand drawings demonstrate accurate resemblance to original object in terms of dimensions, shape and size;LPN 18;Mechanical Engineering Freehand Drawing
90420;652302000-KM-01;Basic engineering;KM-01-KT03;3,2;32;5;Engineering drawings;KT0302;Code of practice for engineering drawing (symbols and abbreviations);AC 12;Indentify, list and explain the symbols and abbreviations used in engineering drawings;LPN 19;Code of practice for engineering drawing (symbols and abbreviations)
90420;652302000-KM-01;Basic engineering;KM-01-KT03;3,2;32;5;Engineering drawings;KT0303;Drawing instruments and equipment;AC 13;Accurate drawings indicate instruments are used correctly;LPN 20;Drawing instruments and equipment
90420;652302000-KM-01;Basic engineering;KM-01-KT03;3,2;32;5;Engineering drawings;KT0304;Dimensioning Methods;AC 14;First and third angle orthographic projections are read and interpreted accurately;LPN 21;Dimensioning Methods
90420;652302000-KM-01;Basic engineering;KM-01-KT03;3,2;32;5;Engineering drawings;KT0305;Isometric Drawings;AC 15;Isometric drawings are read and interpreted accurately;LPN 22;Isometric Drawings
90420;652302000-KM-01;Basic engineering;KM-01-KT03;3,2;32;5;Engineering drawings;KT0306;Assembly and detailed drawings;AC 16;Assemblies, sectional drawings and detailed drawings are read and interpreted accurately;LPN 23;Assembly and detailed drawings
90420;652302000-KM-01;Basic engineering;KM-01-KT04;3,2;32;8;Engineering materials;KT0401;Basic metallurgy and heat concepts;AC 17;Basic metallurgy and heat concepts are explained;LPN 24;Basic metallurgy and heat concepts
90420;652302000-KM-01;Basic engineering;KM-01-KT04;3,2;32;8;Engineering materials;KT0402;Properties of base metals, alloys and synthetic materials;AC 18;Properties of base metals, alloys, and synthetic materials are described;LPN 25;Properties of base metals, alloys and synthetic materials
90420;652302000-KM-01;Basic engineering;KM-01-KT04;3,2;32;8;Engineering materials;KT0403;Non-ferrous metals and ferrous materials;AC 19;Ferrous and non-ferrous are differentiated and synthetic materials described;LPN 26;Non-ferrous metals and ferrous materials
90420;652302000-KM-01;Basic engineering;KM-01-KT04;3,2;32;8;Engineering materials;KT0404;Metal specifications and testing Internal Assessment Criteria;AC 20;Metal specifications and testing are discussed;LPN 27;Metal specifications and testing Internal Assessment Criteria
90420;652302000-KM-01;Basic engineering;KM-01-KT05;4,8;48;9,6;Engineering tools and equipment;KT0501;Hand tools to hold, assemble or disassemble components;AC 21;Different Mechanical Engineering tools applicable to a Fitter and Turner are identified and explain, the following tools myst be included: hand, cutting, power, measuring, marking off, tools), the safe care, correct use and storage of mechanical engineering tools and equipment are identified and explained.;LPN 28;Hand tools to hold, assemble or disassemble components
90420;652302000-KM-01;Basic engineering;KM-01-KT05;4,8;48;9,6;Engineering tools and equipment;KT0502;Hand-held cutting tools (saws, blades, files, scrapers, chisels, taps and dies, hand reamers, hand broaching tools, hammers centre punch);AC 22;"Identify and describe the hand-held cutting tools used by a mechanical engineer for example; saws, blades, files, scrapers, chisels, taps and dies, hand reamers, hand broaching tools, hammers centre punch";LPN 29;Hand-held cutting tools (saws, blades, files, scrapers, chisels, taps and dies, hand reamers, hand broaching tools, hammers centre punch)
90420;652302000-KM-01;Basic engineering;KM-01-KT05;4,8;48;9,6;Engineering tools and equipment;KT0503;Hand-held power tools (angle grinder, drills, drill bits and reamers);AC 23;Identify and describe the hand-held power tools used by a mechanical engineer such as angle grinder, drills, drill bits and reamers;LPN 30;Hand-held power tools (angle grinder, drills, drill bits and reamers)
90420;652302000-KM-01;Basic engineering;KM-01-KT05;4,8;48;9,6;Engineering tools and equipment;KT0504;Measurement tools and equipment (basic measurement tools, precision measuring tools, angular measuring tools, inspection gauges);AC 24;Identify and explain the use of mechanical engineering measurement calculations. Identify and describe the correct speeds, feeds, cutting tools and equipment used by mechanical engineers.;LPN 31;Measurement tools and equipment (basic measurement tools, precision measuring tools, angular measuring tools, inspection gauges)
90420;652302000-KM-01;Basic engineering;KM-01-KT05;4,8;48;9,6;Engineering tools and equipment;KT0505;Marking-off tools and equipment (punches, scribers, combination sets, protractors, callipers (inside and outside), jenny calliper, engineering square, angle plates, marking-off table, dividers);AC 25;Identify and describe the marking-off tools and equipment used by mechanical engineers in sepcific fitter and turners or machinists.;LPN 32;Marking-off tools and equipment (punches, scribers, combination sets, protractors, callipers (inside and outside), jenny calliper, engineering square, angle plates, marking-off table, dividers)
90420;652302000-KM-01;Basic engineering;KM-01-KT06;2,56;25,6;6;Basic lifting concepts;KT0601;Rigging (slings, block and tackle, chain block, steel ropes);AC 26;Identify and describe the types of rigging used by a mechanical engineers such as slings, block and tackle, chain block, steel ropes. Focus specific on the rigging equipment used by a fitter and turner or machinist.;LPN 33;Rigging (slings, block and tackle, chain block, steel ropes)
90420;652302000-KM-01;Basic engineering;KM-01-KT06;2,56;25,6;6;Basic lifting concepts;KT0602;Rigging concepts;AC 27;Rigging concepts are discussed;LPN 34;Rigging concepts
90420;652302000-KM-01;Basic engineering;KM-01-KT06;2,56;25,6;6;Basic lifting concepts;KT0603;Loads selection and limitations;AC 28;Identify and describe how loads are calculated and selected during rigging by a mechanical engineer.;LPN 35;Loads selection and limitations
90420;652302000-KM-01;Basic engineering;KM-01-KT06;2,56;25,6;6;Basic lifting concepts;KT0604;Safety precautions;AC 29;Identify and describe the safety precautions pertaining to rigging used by a mechanical engineer, focus specifically on the working of a fitter and turner or machinists;LPN 36;Safety precautions
90420;652302000-KM-01;Basic engineering;KM-01-KT07;2,56;25,6;6;Types and applications of screw threads;KT0701;Terminology related to screw threads (pitch, root diameter, nominal diameter, lead, flank, internal and external threads, helix angle, included angle);AC 30;Identify and explain Screw Thread terminology and how the profile of a thread is drawn with accurate resemblance to original object in terms of dimensions, shape and size;LPN 37;Terminology related to screw threads (pitch, root diameter, nominal diameter, lead, flank, internal and external threads, helix angle, included angle)
90420;652302000-KM-01;Basic engineering;KM-01-KT07;2,56;25,6;6;Types and applications of screw threads;KT0702;Screw threads;AC 31;Identify and explain the various types of screw threads such as v-thread, acme, and square threads;LPN 38;Screw threads
90420;652302000-KM-01;Basic engineering;KM-01-KT07;2,56;25,6;6;Types and applications of screw threads;KT0703;Application of screw threads;AC 32;Explain the use and purpose of the different screw threads such as v-thread, acme, and square threads;LPN 39;Application of screw threads
90420;652302000-KM-01;Basic engineering;KM-01-KT07;2,56;25,6;6;Types and applications of screw threads;KT0704;Thread calculations;AC 33;Explain how the the depth of different screw threads is calculated;LPN 40;Thread calculations
90420;652302000-KM-01;Basic engineering;KM-01-KT08;2,56;25,6;9;Types and function of locking devices and fasteners;KT0801;Fasteners and locking devices (machine screws, set screws, cap screws, grub screw, studs, locking nuts and bolts, washers, circlips, pins, keys);AC 34;Types of fasteners and locking devices are identified and discussed;LPN 41;Fasteners and locking devices (machine screws, set screws, cap screws, grub screw, studs, locking nuts and bolts, washers, circlips, pins, keys)
90420;652302000-KM-01;Basic engineering;KM-01-KT08;2,56;25,6;9;Types and function of locking devices and fasteners;KT0802;Application of fasteners and locking devices;AC 35;The use of safety precautions of fasteners and locking devices is explained;LPN 42;Application of fasteners and locking devices
90420;652302000-KM-01;Basic engineering;KM-01-KT08;2,56;25,6;9;Types and function of locking devices and fasteners;KT0803;Drawings of fasteners and locking devices;AC 36;Explain how read and interpret gasteners and locking devices from drawings, eplain how to perform reehand drawings of different types of fasteners and locking devices;LPN 43;Drawings of fasteners and locking devices
90420;652302000-KM-01;Basic engineering;KM-01-KT09;2,56;25,6;4;Principles, equipment and methods of arc welding, gas cutting, brazing and silver soldering;KT0901;Arc welding and gas cutting equipment and consumables;AC 37;Desctribe the various Arc welding and gas cutting equipment used by a mechanical engineer, in specific used by a fitter and turner or machinist;LPN 44;Arc welding and gas cutting equipment and consumables
90420;652302000-KM-01;Basic engineering;KM-01-KT09;2,56;25,6;4;Principles, equipment and methods of arc welding, gas cutting, brazing and silver soldering;KT0902;Arc welding and gas cutting techniques and principles;AC 38;Arc welding and gas cutting techniques and principles are discussed  ;LPN 45;Arc welding and gas cutting techniques and principles
90420;652302000-KM-01;Basic engineering;KM-01-KT09;2,56;25,6;4;Principles, equipment and methods of arc welding, gas cutting, brazing and silver soldering;KT0903;Material selection;AC 39;Explain how arc welding material is selected according to different user or application;LPN 46;Material selection
90420;652302000-KM-01;Basic engineering;KM-01-KT09;2,56;25,6;4;Principles, equipment and methods of arc welding, gas cutting, brazing and silver soldering;KT0904;Cutting and welding defects;AC 40;Explain the different welding defects;LPN 47;Cutting and welding defects
90420;652302000-KM-01;Basic engineering;KM-01-KT09;2,56;25,6;4;Principles, equipment and methods of arc welding, gas cutting, brazing and silver soldering;KT0905;Safe handling of gas cylinders;AC 41;Explain the safety precautions pertaining to arc welding and gas cutting cylinders;LPN 48;Safe handling of gas cylinders
90420;652302000-KM-01;Basic engineering;KM-01-KT09;2,56;25,6;4;Principles, equipment and methods of arc welding, gas cutting, brazing and silver soldering;KT0906;Health and safety risks and protective equipment and measures;AC 42;Idenfity and explain the personal protective clothing and equipment that must be used during arc welding;LPN 49;Health and safety risks and protective equipment and measures
90420;652302000-KM-02;Fitting Theory;KM-02-KT01;3,04;30,4;8;Static and dynamic seals and gaskets;KT010601;Seals and gaskets;AC 43;Explain the definitions of seals and gaskets and the usage different gaskets for air, steam, liquids, chemicals and gases;LPN 50;Seals and gaskets
90420;652302000-KM-02;Fitting Theory;KM-02-KT01;3,04;30,4;8;Static and dynamic seals and gaskets;KT010602;The stuffing box and gland (packings);AC 44;Expalin the types and functions of packings, seals, gaskets and glands and the method of packing a stuffing box;LPN 51;The stuffing box and gland (packings)
90420;652302000-KM-02;Fitting Theory;KM-02-KT01;3,04;30,4;8;Static and dynamic seals and gaskets;KT010603;Lagging pipelines;AC 45;Explain what lagging pipelines in the use of static and dynamic seals and gaskets;LPN 52;Lagging pipelines
90420;652302000-KM-02;Fitting Theory;KM-02-KT01;3,04;30,4;8;Static and dynamic seals and gaskets;KT010603;O-rings;AC 46;Explain and identify the O-rings used in static and dynamic seals and gaskets;LPN 53;O-rings
90420;652302000-KM-02;Fitting Theory;KM-02-KT02;3,04;30,4;6;Types, and application of bearings;KS0201;Bearings (anti-friction and friction bearings);AC 47;Types of bearings are differentiated;LPN 54;Bearings (anti-friction and friction bearings)
90420;652302000-KM-02;Fitting Theory;KM-02-KT02;3,04;30,4;6;Types, and application of bearings;KS0202;Application of bearing;AC 48;Components of bearings are identified and discussed;LPN 55;Application of bearing
90420;652302000-KM-02;Fitting Theory;KM-02-KT02;3,04;30,4;6;Types, and application of bearings;KS0203;Maintenance of bearing;AC 49;Applications for different bearings are discussed;LPN 56;Maintenance of bearing
90420;652302000-KM-02;Fitting Theory;KM-02-KT02;3,04;30,4;6;Types, and application of bearings;KS0204;Causes of failures in bearings;AC 50;The causes of bearing failure are described;LPN 57;Causes of failures in bearings
90420;652302000-KM-02;Fitting Theory;KM-02-KT02;3,04;30,4;6;Types, and application of bearings;KS0205;Removal and installation of bearings;AC 51;Removal, installation amd Safety precaution, procedures for bearings are described;LPN 58;Removal and installation of bearings
